OverallQual,YearBuilt,YearRemodAdd,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,TotRmsAbvGrd,GarageCars,GarageArea,SalePrice,ExterQual_TA,Foundation_PConc,KitchenQual_TA
6,1969,1969,663,663,1352,1,7,1,299,158000,1,0,1
6,1920,1950,1012,1012,1012,1,6,1,308,118400,1,0,1
5,1910,2006,1022,1022,1022,1,4,1,280,85000,1,0,1
5,1973,1973,1656,1656,1656,2,8,2,506,135000,1,0,1
6,1978,1978,918,918,1683,2,7,2,440,172500,1,0,1
6,1957,2004,1477,1839,1839,2,7,2,416,257500,1,1,0
6,1915,1950,806,841,1647,1,6,1,216,128000,1,1,0
7,2005,2005,600,520,1223,2,4,2,480,147400,0,1,0
7,1968,1992,570,1222,1920,3,8,2,487,170000,1,0,0
5,1963,1963,1120,1128,1128,2,6,2,525,155000,1,0,1
6,1931,1950,884,959,1367,1,6,1,560,127500,1,0,1
7,1970,1970,1304,1682,1682,2,7,2,530,174000,1,1,1
8,1932,1994,853,1549,2727,2,10,2,440,315000,0,0,0
10,1994,1995,2444,2444,4316,3,10,3,832,755000,0,1,0
5,1972,2007,768,768,768,1,5,2,396,133000,1,0,1
9,2005,2006,1175,1182,2324,3,11,3,736,345000,0,1,0
7,1989,1989,807,1175,1982,2,7,2,575,228500,0,0,0
8,2006,2006,1088,1088,1959,2,8,3,1025,270000,0,1,0
6,1993,1994,799,799,1571,2,7,2,380,178000,0,1,1
7,2006,2006,728,728,1456,2,8,2,440,155835,0,1,0
4,1927,1950,520,520,520,1,4,1,240,68500,1,0,0
5,1968,1968,1052,1052,1052,1,5,1,288,138500,1,0,1
7,2003,2003,941,941,1829,2,7,2,613,237000,0,1,0
7,2005,2006,1373,1555,1555,2,7,2,430,192500,0,1,0
6,1937,1950,780,780,1375,1,6,1,544,141000,1,1,0
7,2003,2003,783,807,1509,2,8,2,393,180000,0,1,0
6,1968,1968,708,708,1416,2,7,2,776,179900,1,0,1
6,2000,2000,936,962,1792,2,8,2,451,186500,1,1,1
7,1996,1996,880,909,1716,2,7,2,512,191000,0,1,0
5,1920,1996,530,581,1111,1,6,1,288,101000,1,0,0
5,1940,1997,672,672,672,1,4,1,240,108000,1,1,1
6,1970,1970,483,483,987,1,5,1,280,106000,1,0,1
5,1966,1966,894,894,894,1,5,1,384,125000,1,0,1
6,1997,1998,1478,1493,1493,2,7,2,508,208900,1,1,0
7,2007,2007,728,728,1456,2,8,2,400,179540,0,1,0
